ts,P>1_mean,P>1_max,P>5_mean,P>5_max,P>10_mean,P>10_max,P>30_mean,P>30_max,P>50_mean,P>50_max,P>100_mean,P>100_max,E>0.8_mean,E>0.8_max,E>2.0_mean,E>2.0_max,speed,density,F10.7,група
2017-08-28 15:00:00,3.0933333333333333,4.32,0.29291666666666666,0.431,0.19799999999999998,0.338,0.08984166666666667,0.153,0.06795833333333333,0.143,0.035875,0.062,15925.0,17000.0,406.25,478.0,303.0,2.0,82.0,тиха
2017-08-28 16:00:00,3.6166666666666667,5.11,0.3065,0.524,0.20074999999999998,0.363,0.10075833333333334,0.161,0.0772,0.125,0.044525,0.0769,18016.666666666668,18800.0,557.0,599.0,307.0,1.5,82.0,тиха
2017-08-28 17:00:00,3.9725,5.23,0.2985,0.656,0.19391666666666665,0.359,0.10299166666666666,0.195,0.08290833333333333,0.145,0.043333333333333335,0.0854,20050.0,20800.0,591.5833333333334,615.0,309.0,0.9,82.0,тиха
2017-08-28 18:00:00,4.538333333333333,5.85,0.27508333333333335,0.383,0.16375,0.252,0.090375,0.192,0.07248333333333333,0.161,0.0356,0.062,20883.333333333332,21900.0,592.4166666666666,609.0,302.0,1.5,82.0,тиха
2017-08-28 19:00:00,4.429166666666666,4.94,0.22066666666666668,0.302,0.17016666666666666,0.256,0.09152500000000001,0.131,0.07116666666666667,0.121,0.03589166666666666,0.0509,22058.333333333332,22200.0,585.3333333333334,605.0,294.0,2.0,82.0,тиха
2017-08-28 20:00:00,5.4575,7.04,0.20233333333333334,0.28,0.1420833333333333,0.19,0.0727,0.106,0.053516666666666664,0.0683,0.026741666666666664,0.036,23108.333333333332,24100.0,666.8333333333334,727.0,297.0,3.2,82.0,тиха
2017-08-28 21:00:00,5.88,8.62,0.22675,0.411,0.1688333333333333,0.226,0.09745,0.144,0.08141666666666666,0.133,0.04758333333333333,0.0707,24550.0,24800.0,773.0833333333334,792.0,299.0,2.8,82.0,тиха
2017-08-28 22:00:00,6.835833333333333,8.59,0.23758333333333334,0.521,0.18116666666666667,0.409,0.10219166666666667,0.212,0.0709,0.126,0.03635,0.0779,25641.666666666668,26800.0,775.1666666666666,804.0,309.0,2.9,82.0,тиха
2017-08-28 23:00:00,6.745,9.76,0.27425,0.392,0.19799999999999998,0.282,0.11245833333333333,0.147,0.0835,0.121,0.04238333333333333,0.0856,24866.666666666668,26000.0,742.1666666666666,778.0,309.0,3.2,82.0,тиха
2017-08-29 00:00:00,5.596666666666667,7.13,0.23550000000000001,0.392,0.17458333333333334,0.274,0.096425,0.165,0.07936666666666667,0.154,0.04372500000000001,0.0879,20658.333333333332,23300.0,494.6666666666667,699.0,325.0,2.1,84.0,тиха
2017-08-29 01:00:00,4.759166666666666,6.86,0.237,0.376,0.1635,0.217,0.09116666666666667,0.131,0.07430833333333334,0.101,0.035541666666666666,0.0608,15375.0,17000.0,277.4166666666667,325.0,307.0,1.5,84.0,тиха
2017-08-29 02:00:00,3.2241666666666666,5.35,0.24125,0.449,0.1779166666666667,0.358,0.10173333333333334,0.298,0.076025,0.19,0.035958333333333335,0.0781,14350.0,15000.0,302.0833333333333,330.0,340.0,1.9,84.0,тиха
2017-08-29 03:00:00,2.631666666666667,2.91,0.21258333333333335,0.415,0.16008333333333333,0.295,0.08325,0.178,0.07250833333333333,0.167,0.03830833333333333,0.0738,12625.0,13300.0,251.5,281.0,348.0,2.6,84.0,тиха
2017-08-29 04:00:00,2.255,3.77,0.21491666666666667,0.322,0.15133333333333335,0.219,0.07796666666666667,0.116,0.06648333333333332,0.105,0.036116666666666665,0.0806,10502.5,11200.0,199.25,220.0,349.0,2.8,84.0,тиха
2017-08-29 05:00:00,1.16575,1.84,0.206,0.293,0.14991666666666667,0.212,0.08514166666666667,0.119,0.07336666666666666,0.108,0.038808333333333334,0.0682,8255.833333333334,9910.0,211.0,267.0,348.0,2.8,84.0,тиха
2017-08-29 06:00:00,1.1945,2.29,0.25616666666666665,0.647,0.16966666666666666,0.252,0.08293333333333333,0.119,0.07180833333333334,0.108,0.040075,0.0658,7470.833333333333,8920.0,263.3333333333333,336.0,346.0,2.6,84.0,тиха
2017-08-29 07:00:00,1.2418333333333333,1.99,0.23358333333333334,0.392,0.15891666666666668,0.224,0.08525833333333332,0.127,0.070225,0.117,0.03621666666666667,0.0776,9573.333333333334,10800.0,402.0,419.0,344.0,3.6,84.0,тиха
2017-08-29 08:00:00,1.2751666666666666,1.71,0.26433333333333336,0.447,0.19141666666666668,0.363,0.08463333333333334,0.132,0.06739166666666667,0.102,0.03398333333333333,0.0583,8770.0,9240.0,348.6666666666667,393.0,339.0,3.0,84.0,тиха
2017-08-29 09:00:00,1.1301666666666668,1.43,0.22608333333333333,0.339,0.1795,0.293,0.09734999999999999,0.234,0.07623333333333333,0.149,0.04130833333333333,0.0831,8353.333333333334,8890.0,318.5833333333333,337.0,303.0,3.7,84.0,тиха
2017-08-29 10:00:00,1.3025,1.99,0.25858333333333333,0.466,0.19041666666666668,0.276,0.11370000000000001,0.191,0.09030833333333334,0.163,0.04945,0.0873,10235.0,11700.0,420.0,504.0,292.0,5.0,84.0,тиха
2017-08-29 11:00:00,1.4158333333333333,2.26,0.24766666666666667,0.398,0.17783333333333332,0.213,0.08980833333333334,0.137,0.0666,0.114,0.035225,0.0608,12233.333333333334,13000.0,542.1666666666666,573.0,293.0,4.7,84.0,тиха
2017-08-29 12:00:00,1.5441666666666667,2.33,0.24025,0.349,0.16841666666666666,0.24,0.09018333333333334,0.119,0.06490833333333333,0.0829,0.03195,0.0583,13450.0,14800.0,614.8333333333334,696.0,308.0,4.7,84.0,тиха
2017-08-29 13:00:00,2.254166666666667,3.19,0.27699999999999997,0.48,0.20183333333333334,0.335,0.10368333333333334,0.223,0.07694166666666667,0.142,0.0397,0.0645,16425.0,18200.0,767.4166666666666,836.0,287.0,4.8,84.0,тиха
2017-08-29 14:00:00,2.8800000000000003,4.03,0.2634166666666667,0.382,0.18958333333333333,0.3,0.09569166666666667,0.161,0.07205,0.114,0.03763333333333333,0.0791,19750.0,20800.0,912.8333333333334,988.0,279.0,4.7,84.0,тиха
2017-08-29 15:00:00,3.3633333333333333,4.45,0.218,0.329,0.16341666666666665,0.223,0.088375,0.153,0.06936666666666667,0.093,0.030983333333333335,0.0517,22191.666666666668,23300.0,1063.5833333333333,1130.0,277.0,5.1,84.0,тиха
2017-08-29 16:00:00,4.329166666666667,7.18,0.21808333333333332,0.327,0.1725,0.281,0.086175,0.141,0.06539166666666667,0.112,0.03519166666666667,0.0658,24575.0,27500.0,1229.1666666666667,1390.0,348.0,5.1,84.0,тиха
2017-08-29 17:00:00,13.030833333333334,27.2,0.2880833333333333,0.599,0.19466666666666665,0.328,0.09440833333333333,0.139,0.06765833333333333,0.095,0.038608333333333335,0.0707,31933.333333333332,36400.0,1787.5,2250.0,352.0,5.9,84.0,тиха
2017-08-29 18:00:00,22.583333333333332,32.4,0.24891666666666667,0.36,0.19358333333333333,0.314,0.08666666666666667,0.122,0.06873333333333333,0.1,0.04015833333333333,0.0761,34658.333333333336,37700.0,2315.0,2570.0,349.0,6.5,84.0,тиха
2017-08-29 19:00:00,30.0,50.0,0.24516666666666667,0.343,0.17308333333333334,0.297,0.09528333333333333,0.119,0.06706666666666666,0.109,0.034183333333333336,0.0767,37591.666666666664,41100.0,2950.0,3430.0,361.0,5.8,84.0,тиха
2017-08-29 20:00:00,36.30833333333333,45.4,0.21908333333333332,0.277,0.16691666666666669,0.209,0.09456666666666667,0.12,0.08249166666666667,0.11,0.051583333333333335,0.0854,42733.333333333336,46800.0,4338.333333333333,5210.0,354.0,4.5,84.0,тиха
2017-08-29 21:00:00,35.458333333333336,70.3,0.25375,0.423,0.19216666666666668,0.327,0.09185833333333333,0.192,0.06853333333333333,0.115,0.033249999999999995,0.0569,26408.333333333332,39900.0,2369.1666666666665,4100.0,395.0,2.1,84.0,тиха
2017-08-29 22:00:00,15.231666666666667,26.1,0.23091666666666666,0.303,0.18441666666666667,0.264,0.08946666666666665,0.157,0.06578333333333333,0.13,0.03333333333333333,0.0631,10654.166666666666,16200.0,538.75,1190.0,398.0,1.4,84.0,тиха
2017-08-29 23:00:00,6.43,11.9,0.2515833333333333,0.394,0.17416666666666666,0.258,0.08465,0.145,0.0687,0.135,0.037700000000000004,0.0706,4778.333333333333,6370.0,116.19166666666666,174.0,392.0,1.8,84.0,тиха
2017-08-30 00:00:00,3.5583333333333336,5.89,0.22525000000000003,0.319,0.1625,0.239,0.09845833333333333,0.181,0.0768,0.15,0.03559166666666667,0.0679,3382.5,3460.0,64.30833333333334,70.4,398.0,1.2,87.0,тиха
2017-08-30 01:00:00,2.6316666666666664,3.79,0.26775,0.423,0.20233333333333334,0.33,0.11318333333333334,0.207,0.08503333333333334,0.131,0.03854166666666666,0.0532,3150.0,3480.0,55.75,67.3,385.0,1.9,87.0,тиха
2017-08-30 02:00:00,1.16075,1.52,0.22341666666666668,0.34,0.18108333333333335,0.301,0.09321666666666667,0.182,0.07792500000000001,0.161,0.03875,0.0727,2000.8333333333333,2480.0,35.166666666666664,40.4,376.0,2.4,87.0,тиха
2017-08-30 03:00:00,1.2859166666666666,2.47,0.21641666666666667,0.317,0.15991666666666668,0.268,0.08489999999999999,0.171,0.06641666666666667,0.118,0.030625,0.0455,2227.5,3000.0,32.81666666666666,45.1,375.0,2.7,87.0,тиха
2017-08-30 04:00:00,1.5199999999999998,2.3,0.21391666666666667,0.397,0.15616666666666668,0.248,0.07633333333333334,0.162,0.062825,0.15,0.030549999999999997,0.0576,2905.0,3100.0,35.71666666666666,41.7,354.0,3.2,87.0,тиха
2017-08-30 05:00:00,0.8989166666666666,1.5,0.22908333333333333,0.497,0.16416666666666668,0.278,0.07095833333333333,0.0948,0.057225,0.0746,0.02928333333333333,0.0458,1917.5,2310.0,19.275000000000002,21.6,351.0,3.4,87.0,тиха
2017-08-30 06:00:00,0.62725,0.786,0.21033333333333334,0.287,0.15325,0.248,0.08253333333333333,0.135,0.06556666666666666,0.125,0.033716666666666666,0.0717,1537.5,1710.0,16.650000000000002,19.7,351.0,3.4,87.0,тиха
